iteration	100_mean	100_std
0.0000	0.7508	0.0000
1.0000	0.7396	0.0000
2.0000	0.5292	0.0000
3.0000	0.5977	0.0000
4.0000	0.6842	0.0000
5.0000	0.6163	0.0000
6.0000	0.7397	0.0000
7.0000	0.7420	0.0000
8.0000	0.7084	0.0000
9.0000	0.7786	0.0000
10.0000	0.8142	0.0000
11.0000	0.7830	0.0000
12.0000	0.7914	0.0000
13.0000	0.8228	0.0000
14.0000	0.8210	0.0000
15.0000	0.8238	0.0000
16.0000	0.7835	0.0000
17.0000	0.8187	0.0000
18.0000	0.8238	0.0000
19.0000	0.8525	0.0000
